iteration,temps_calcul,temps_affichage,temps_iteration,longueur,discretisation,vent,start,nombre_de_processus,nombre_de_coeurs,accel_global,accel_temp
608,0.0,0.0,29.29487949999748,5,75,"(1, 1)","(50, 50)",2,1,0.850509752053397,
608,0.0,0.0,14.005102600029204,5,75,"(1, 1)","(50, 50)",4,3,1.7790359279427945,
608,0.0,0.0,10.017488799989223,5,75,"(1, 1)","(50, 50)",6,5,2.4872082412514205,
608,0.0,0.0,9.743013600003906,5,75,"(1, 1)","(50, 50)",8,7,2.55727660073953,
672,0.0,0.0,25.124761300045066,5,75,"(2, 3)","(1, 50)",1,1,1.0,
672,0.0,0.0,29.126879299990836,5,75,"(2, 3)","(1, 50)",2,1,0.8625970891448357,
672,0.0,0.0,15.10770940000657,5,75,"(2, 3)","(1, 50)",4,3,1.663042400063251,
672,0.0,0.0,10.385348000039812,5,75,"(2, 3)","(1, 50)",6,5,2.419250784850806,
672,0.0010027885437011,0.0,10.10346120002214,5,75,"(2, 3)","(1, 50)",8,7,2.486747937428612,0.0
672,0.0,0.0,25.26129899994703,5,75,"(2, 3)","(15, 10)",1,1,1.0,
672,0.0,0.0,29.421079299994744,5,75,"(2, 3)","(15, 10)",2,1,0.8586122467625293,
672,0.0011792182922363,0.0,14.628125599992927,5,75,"(2, 3)","(15, 10)",4,3,1.7268992412779969,0.0
672,0.0,0.0,10.049371299974156,5,75,"(2, 3)","(15, 10)",6,5,2.5137193408319973,
672,0.0011060237884521,0.0,9.868497899966314,5,75,"(2, 3)","(15, 10)",8,7,2.5597916983934565,0.0
576,0.0,0.0,25.067385000002105,5,75,"(2, 3)","(37, 37)",1,1,1.0,
576,0.0,0.0,29.17936519999057,5,75,"(2, 3)","(37, 37)",2,1,0.8590791755815923,
576,0.0,0.0,13.276852899987716,5,75,"(2, 3)","(37, 37)",4,3,1.8880517234641725,
576,0.0,0.0,9.55929379997542,5,75,"(2, 3)","(37, 37)",6,5,2.622305112127275,
576,0.0,0.0,9.363326599996071,5,75,"(2, 3)","(37, 37)",8,7,2.6771879344689977,
608,0.0,0.0,25.09306530002505,5,75,"(2, 3)","(50, 50)",1,1,1.0,
608,0.0,0.0,29.17001949995756,5,75,"(2, 3)","(50, 50)",2,1,0.8602347797560285,
608,0.0010027885437011,0.0,14.033578699978534,5,75,"(2, 3)","(50, 50)",4,3,1.7880731520081496,0.0
